angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.207123,53.45748,22.93892,53.45748,22.93892,53.4574888259989,22.9388619429612,0.005,0.003,90,67667935599570432,53.45758278805,0.1302,22.93867055371,0.0841,7.1930,0.1344,20.098,0.314,-44.452,0.197,0,2.39981e+03,3.44871e+00,17.237923,3.70345e+02,1.70872e+01,18.929873,3.33743e+03,1.44874e+01,15.953391,2.976481,,,0,,,,,
0.193632,53.507523,24.880957,53.507523,24.880957,53.5075301130644,24.8809032986920,0.002,0.001,90,69250235911393408,53.50763162422,0.0566,24.88071196299,0.0311,7.1053,0.0578,21.388,0.109,-44.439,0.073,0,9.70976e+05,1.18947e+03,10.720345,4.97346e+05,2.24120e+03,11.109741,6.67349e+05,2.34599e+03,10.201036,0.908705,3.27,2.02,4,5447.73,0.0680,0.0417,0.99,0.781
0.228931,53.530495,24.344501,53.530495,24.344501,53.5304613784115,24.3444456129026,0.001,0.001,90,68097020012324352,53.53056379661,0.0442,24.34425119856,0.0269,7.2607,0.0488,21.672,0.082,-45.154,0.058,0,3.19627e+06,8.63727e+02,9.426758,1.80435e+06,2.49628e+03,9.710587,1.97600e+06,3.58915e+03,9.022453,0.688133,6.07,0.72,7,6085.80,0.1730,0.0855,1.38,2.361
0.930170,53.579792,22.466692,53.579792,22.466692,53.5798559753961,22.4664404398830,0.003,0.002,90,67571380438388480,53.57985597540,2.8996,22.46644043988,1.6081,,,,,,,0,4.67784e+03,6.43667e+01,16.513252,7.21894e+02,1.04645e+01,18.205204,7.92715e+03,3.95349e+01,15.014128,3.191076,,,0,3873.66,,,,
0.098689,53.58063,22.811804,53.58063,22.811804,53.5806580648043,22.8117919502484,0.011,0.007,90,67662330666441088,53.58075226560,0.2819,22.81160576855,0.1934,7.0250,0.2852,20.168,0.678,-43.242,0.465,0,8.10979e+02,2.06148e+00,18.415842,9.46334e+01,8.17132e+00,20.411278,1.28622e+03,1.28099e+01,16.988630,3.422648,,,0,,,,,
0.112414,53.592125,27.396076,53.592125,27.396076,53.5921305170554,27.3960453714507,0.003,0.002,90,71309655549854080,53.59223597121,0.0880,27.39584589668,0.0465,7.6147,0.0887,21.746,0.204,-46.330,0.116,0,1.09861e+04,8.51466e+00,15.586260,1.94108e+03,1.35965e+01,17.131279,1.42840e+04,4.47078e+01,14.374793,2.756486,,,0,3983.39,0.8223,0.4862,,
0.117846,53.673096,26.157646,53.673096,26.157646,53.6730621629978,26.1576333238108,0.006,0.004,90,69486733990130048,53.67316471840,0.1799,26.15744077792,0.1215,7.4255,0.1977,21.380,0.408,-44.720,0.234,0,1.62245e+03,3.27328e+00,17.662935,1.80216e+02,6.69338e+00,19.711905,2.36789e+03,2.26528e+01,16.326017,3.385887,,,0,,,,,
0.086250,53.684944,26.096003,53.684944,26.096003,53.6849284227452,26.0959832283447,0.002,0.001,90,69485978075890176,53.68502433346,0.0485,26.09580126299,0.0283,6.8306,0.0510,20.005,0.104,-42.263,0.065,0,1.36648e+05,1.33980e+02,12.849354,5.37547e+04,1.91813e+02,13.525347,1.18606e+05,5.05134e+02,12.076657,1.448690,5.07,1.40,6,4578.77,0.2450,0.1270,0.60,0.144
0.097906,53.69314,27.925793,53.69314,27.925793,53.6931144725774,27.9257752877466,0.002,0.001,90,119400851039785600,53.69321607215,0.0610,27.92558466396,0.0426,7.1894,0.0695,20.850,0.117,-44.274,0.091,0,1.26743e+04,1.81643e+01,15.431058,2.45184e+03,3.97315e+01,16.877659,1.61703e+04,7.13233e+01,14.240123,2.637536,,,0,3679.00,0.8080,0.4450,,
0.179082,53.69677,26.094885,53.69677,26.094885,53.6967376661643,26.0948442989507,0.002,0.001,90,69485252225162368,53.69682124413,0.0553,26.09462638025,0.0324,5.6158,0.0553,17.433,0.122,-50.613,0.076,0,1.41090e+06,5.24315e+02,10.314622,7.42445e+05,7.59574e+02,10.674727,9.47225e+05,1.04947e+03,9.820787,0.853939,1.88,0.56,5,5595.53,0.3900,0.1940,1.42,1.790
4.711367,53.69677,26.094885,53.69677,26.094885,53.6955928231142,26.0941131031873,0.003,0.002,90,69485222161645696,53.69566692279,0.0908,26.09388099548,0.0571,5.6305,0.0946,15.456,0.214,-53.909,0.138,0,7.02773e+03,9.84820e+00,16.071327,2.86689e+03,3.96545e+02,16.707860,1.03120e+04,5.59869e+02,14.728559,1.979302,,,0,4390.00,,,,
